"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","5,892 K"
"Registry","124","Services","0","89,196 K"
"smss.exe","500","Services","0","1,092 K"
"csrss.exe","708","Services","0","5,228 K"
"wininit.exe","800","Services","0","5,604 K"
"csrss.exe","808","Console","1","12,808 K"
"winlogon.exe","900","Console","1","10,592 K"
"services.exe","908","Services","0","10,800 K"
"lsass.exe","964","Services","0","32,616 K"
"svchost.exe","792","Services","0","49,520 K"
"fontdrvhost.exe","588","Services","0","3,568 K"
"fontdrvhost.exe","608","Console","1","9,592 K"
"svchost.exe","1088","Services","0","21,736 K"
"svchost.exe","1132","Services","0","9,052 K"
"svchost.exe","1236","Services","0","20,572 K"
"svchost.exe","1292","Services","0","4,140 K"
"dwm.exe","1376","Console","1","85,044 K"
"svchost.exe","1388","Services","0","15,900 K"
"svchost.exe","1432","Services","0","8,312 K"
"svchost.exe","1440","Services","0","11,616 K"
"svchost.exe","1528","Services","0","5,492 K"
"svchost.exe","1564","Services","0","7,124 K"
"svchost.exe","1632","Services","0","7,124 K"
"svchost.exe","1808","Services","0","11,292 K"
"WUDFHost.exe","1840","Services","0","7,300 K"
"svchost.exe","1872","Services","0","5,376 K"
"svchost.exe","1924","Services","0","15,736 K"
"NVDisplay.Container.exe","1972","Services","0","34,012 K"
"svchost.exe","1104","Services","0","9,656 K"
"svchost.exe","2092","Services","0","13,908 K"
"svchost.exe","2100","Services","0","5,084 K"
"svchost.exe","2108","Services","0","12,696 K"
"svchost.exe","2120","Services","0","7,204 K"
"svchost.exe","2224","Services","0","8,324 K"
"Memory Compression","2316","Services","0","898,284 K"
"svchost.exe","2336","Services","0","6,124 K"
"svchost.exe","2360","Services","0","8,696 K"
"svchost.exe","2552","Services","0","10,752 K"
"svchost.exe","2560","Services","0","7,080 K"
"svchost.exe","2568","Services","0","9,252 K"
"svchost.exe","2576","Services","0","11,044 K"
"svchost.exe","2584","Services","0","8,900 K"
"svchost.exe","2816","Services","0","9,988 K"
"svchost.exe","2964","Services","0","6,876 K"
"svchost.exe","2684","Services","0","8,948 K"
"svchost.exe","2896","Services","0","22,200 K"
"svchost.exe","3096","Services","0","7,776 K"
"svchost.exe","3420","Services","0","6,372 K"
"WmiPrvSE.exe","3460","Services","0","13,704 K"
"svchost.exe","3468","Services","0","15,984 K"
"dasHost.exe","3584","Services","0","15,432 K"
"svchost.exe","3664","Services","0","9,724 K"
"svchost.exe","3672","Services","0","8,200 K"
"svchost.exe","3732","Services","0","13,328 K"
"spoolsv.exe","3824","Services","0","13,548 K"
"svchost.exe","3868","Services","0","23,384 K"
"svchost.exe","3908","Services","0","19,696 K"
"WmiPrvSE.exe","3968","Services","0","26,972 K"
"svchost.exe","4196","Services","0","83,836 K"
"svchost.exe","4204","Services","0","65,692 K"
"svchost.exe","4212","Services","0","9,132 K"
"svchost.exe","4220","Services","0","16,488 K"
"svchost.exe","4236","Services","0","19,736 K"
"svchost.exe","4244","Services","0","4,848 K"
"svchost.exe","4252","Services","0","5,032 K"
"PnkBstrA.exe","4328","Services","0","7,060 K"
"MsMpEng.exe","4336","Services","0","312,496 K"
"agent_ovpnconnect.exe","4344","Services","0","11,376 K"
"windhawk.exe","4356","Services","0","7,620 K"
"MSI_ActiveX_Service.exe","4364","Services","0","30,112 K"
"nvcontainer.exe","4384","Services","0","36,344 K"
"ovpnhelper_service.exe","4408","Services","0","10,344 K"
"svchost.exe","4592","Services","0","5,888 K"
"ss_conn_service2.exe","4600","Services","0","7,924 K"
"WMIRegistrationService.exe","4608","Services","0","12,732 K"
"MpDefenderCoreService.exe","4616","Services","0","18,540 K"
"GamingApp_Service.exe","4624","Services","0","21,128 K"
"GamingHotkey_Service.exe","4644","Services","0","7,320 K"
"jhi_service.exe","4652","Services","0","5,860 K"
"BvSshServer.exe","4668","Services","0","50,688 K"
"IpOverUsbSvc.exe","4676","Services","0","16,764 K"
"ss_conn_service.exe","4688","Services","0","6,732 K"
"svchost.exe","4868","Services","0","4,496 K"
"svchost.exe","5056","Services","0","8,368 K"
"svchost.exe","5204","Services","0","8,876 K"
"svchost.exe","5212","Services","0","11,900 K"
"rundll32.exe","6460","Console","1","8,272 K"
"dllhost.exe","7860","Services","0","11,004 K"
"NVDisplay.Container.exe","7960","Console","1","57,092 K"
"svchost.exe","8088","Services","0","7,072 K"
"VideoCardMonitorII.exe","8484","Console","1","34,984 K"
"EyeRest.exe","8512","Console","1","42,860 K"
"TriggerModeMonitor.exe","8524","Console","1","35,804 K"
"windhawk.exe","7908","Console","1","13,260 K"
"sihost.exe","8456","Console","1","33,756 K"
"svchost.exe","8496","Console","1","31,164 K"
"svchost.exe","8812","Console","1","44,248 K"
"taskhostw.exe","8724","Console","1","22,448 K"
"svchost.exe","8884","Services","0","25,252 K"
"MSI_LED.exe","2668","Console","1","34,052 K"
